"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON, MA US","2021-02-16","11.18",,"0.63","0.0","33","40","30","  260","  290","25.9","35.1","    1","    1",,,,"    1",
"USW00014739","BOSTON, MA US","2021-02-17","12.75",,"0.00","0.0","29","32","23","  280","  290","25.9","36.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-02-18","8.50",,"0.09","0.9","27","31","24","   60","   70","18.1","25.9","    1",,,,"    1",,
"USW00014739","BOSTON, MA US","2021-02-19","10.96",,"0.43","4.8","28","30","25","   30","   30","17.0","21.9","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-02-20","11.18",,"0.00","0.0","27","31","23","  320","  310","21.0","28.0","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-02-21","9.40",,"0.00","0.0","26","33","19","  330","  330","21.9","28.0",,,,,,,
"USW00014739","BOSTON, MA US","2021-02-22","10.96",,"0.16","0.0","29","40","19","  190","  260","23.0","31.1","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-02-23","12.75",,"0.00","0.0","38","43","34","  220","  270","21.0","25.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-02-24","13.42",,"0.00","0.0","42","50","37","  210","  220","25.1","32.0",,,,,,,
"USW00014739","BOSTON, MA US","2021-02-25","17.22",,"0.00","0.0","44","47","33","  320","  330","28.0","36.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-02-26","9.17",,"0.00","0.0","33","40","28","  110","  330","16.1","21.0",,,,,,,
"USW00014739","BOSTON, MA US","2021-02-27","9.84",,"0.17","0.0","35","47","30","  280","  280","16.1","19.9","    1",,,"    1",,,
"USW00014739","BOSTON, MA US","2021-02-28","6.93",,"0.02","0.0","40","44","36","  300","  300","14.1","19.0","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-03-01","13.87",,"0.18","0.0","39","44","26","  270","  280","44.1","53.0","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-03-02","22.59",,"0.00","0.0","23","28","13","  290","  300","38.0","52.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-03-03","12.08",,"0.00","0.0","33","50","23","  240","  250","19.9","25.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-03-04","14.76",,"0.00","0.0","39","43","27","  300","  290","29.1","38.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-03-05","18.12",,"0.00","0.0","29","36","24","  300","  300","23.0","36.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-03-06","12.53",,"0.00","0.0","29","36","22","  300","  280","21.0","27.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-03-07","9.84",,"0.00","0.0","29","38","22","  290","  300","17.0","21.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-03-08","9.40",,"0.00","0.0","32","38","25","  320","  310","16.1","21.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-03-09","11.41",,"0.00","0.0","45","61","36","  280","  280","23.0","29.1",,,,,,,
